i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
4,325,0.1,2500,-23.169,-0.18147,15.848,-5.0349,-0.62357,34,2
5,326,0.1,2600,-27.601,-1.8298,18.49,-5.936,-0.18483,40,2
6,327,0.1,2700,-23.252,-0.227,16.361,-5.2006,0.60985,34,2
7,328,0.1,2800,-10.945,-1.03,7.1342,-2.4316,-0.13652,17,2
8,329,0.1,2900,-15.687,0.2587,11.454,-3.8049,0.16736,23,2
9,330,0.1,3000,-18.953,-1.0516,14.186,-4.5714,-0.6591,28,2
0,331,0.1,3100,-22.795,-0.80962,15.971,-5.1683,-0.52961,34,2
1,332,0.1,3200,-21.881,-0.63444,15.209,-4.833,-0.97321,33,2
2,333,0.1,3300,-7.8778,-0.61485,5.144,-1.8486,-0.62795,12,2
3,334,0.1,3400,-10.706,-0.184,7.9173,-2.6,-0.60696,17,2
4,335,0.1,3500,-7.343,0.14483,5.3867,-1.9483,-0.18657,12,2
5,336,0.1,3600,-15.328,-0.23874,10.187,-3.4309,-0.84836,23,2
6,337,0.1,3700,-7.4955,-0.55169,6.1222,-2.144,0.89017,12,2
7,338,0.1,3800,-7.3476,-0.86501,6.0452,-2.012,-0.15285,12,2
8,339,0.1,3900,-10.565,-1.0029,7.5143,-2.5805,0.16125,17,2
9,340,0.1,4000,-3.7174,0.50532,2.8878,-1.03,0.95796,7,2
0,341,0.1,4100,-15.447,-0.12904,10.298,-3.439,-0.90721,23,2
1,342,0.1,4200,-19.794,-1.186,12.659,-4.0355,-0.26849,29,2
2,343,0.1,4300,-7.867,0.21538,5.1664,-1.8474,0.30094,12,2
3,344,0.1,4400,-14.863,-0.89198,11.518,-3.809,0.86616,23,2
4,345,0.1,4500,-19.453,-0.38852,13.478,-4.3514,-1.0785,29,2
5,346,0.1,4600,-3.4904,-0.94393,1.7968,-0.62862,-0.054321,6,2
6,347,0.1,4700,-11.343,0.21636,7.947,-2.7001,-0.50909,17,2
7,348,0.1,4800,-23.259,-1.6395,16.031,-5.078,-0.39789,34,2
8,349,0.1,4900,-27.739,-1.5912,18.844,-6.0153,0.3357,40,2
9,350,0.1,5000,-18.557,-0.70454,13.061,-4.2558,-0.15145,28,2
0,351,0.2,100,-13.426,-1.6798,21.453,-7.2943,-0.75995,23,2
1,352,0.2,200,-22.562,-1.4987,38.155,-12.496,-0.43076,39,2
2,353,0.2,300,-23.941,-1.8958,37.54,-12.274,-0.85652,40,2
3,354,0.2,400,-6.6867,0.28879,9.6925,-3.6473,0.0033693,12,2
4,355,0.2,500,-12.665,-1.4774,21.637,-7.0788,0.0578,23,2
5,356,0.2,600,-22.556,-1.4208,37.131,-12.272,-0.81933,39,2
6,357,0.2,700,-6.5334,-0.87259,11.115,-3.8919,-0.047519,12,2
7,358,0.2,800,-6.126,-1.4294,9.7554,-3.3068,-0.32591,12,2
8,359,0.2,900,-16.186,-2.4911,26.775,-8.7704,-0.50131,28,2
