"","recno","TYCID1","TYCID2","TYCID3","RA_J2000","DE_J2000","pmRA","pmDE","BT","VT","V","BV","HD","HIP","Plx","indexcandidate","hyades","clusterNum"
"980",6445,92,657,1,4.85056,5.43107,2,-46.6,10.052,8.95,8.851,0.937,"NULL","NULL",0,1233,0,3
"985",6450,92,687,1,4.87338,4.33268,70.8,-49.6,9.475,8.93,8.881,0.463,"31003","NULL",0,1238,0,3
"1006",6473,92,936,1,4.79087,5.3359,32.1,-42.5,9.765,9.24,9.193,0.446,"NULL","NULL",0,1261,0,3
"1012",6479,92,985,1,4.86535,4.52129,40.1,-45.7,9.794,8.231,8.09,1.329,"30937","NULL",0,1267,0,3
"1013",6481,92,1008,1,4.80339,4.25285,70.2,-1.3,11.676,11.126,11.077,0.468,"NULL","NULL",0,1269,0,3
"1017",6485,92,1059,1,4.84448,4.29393,51.6,-46.7,8.335,7.75,7.697,0.497,"30771","NULL",0,1273,0,3
"1030",6499,93,170,1,4.9861,5.12911,21.9,-19.8,10.72,9.927,9.856,0.674,"NULL","NULL",0,1287,0,3
"1043",6513,93,384,1,4.889,4.13974,27.2,-57.1,11.255,10.337,10.254,0.78,"NULL","NULL",0,1301,0,3
"1051",6522,93,499,1,4.89568,5.56552,66,-20.5,11.789,11.145,11.087,0.547,"NULL","NULL",0,1310,0,3
"1060",6531,93,579,1,4.94763,4.58613,53.4,-5,11.985,10.483,10.348,1.277,"NULL","NULL",0,1319,0,3
"1064",6535,93,592,1,4.90326,5.07876,1.8,-53.1,9.694,9.141,9.091,0.47,"NULL","NULL",0,1323,0,3
"1083",6555,93,773,1,4.92021,3.78679,61.6,-41.8,10.601,9.922,9.861,0.577,"NULL","NULL",0,1343,0,3
"1085",6557,93,800,1,4.99874,4.48924,15,-17.6,9.754,9.187,9.136,0.482,"NULL","NULL",0,1345,0,3
"1086",6558,93,839,1,4.98877,5.01878,103.5,31.2,11.931,11.145,11.074,0.668,"NULL","NULL",0,1346,0,3
"1100",6573,93,1004,1,4.93864,5.61506,22.5,-65.9,11.333,10.376,10.29,0.813,"NULL","NULL",0,1361,0,3
"1114",6587,93,1141,1,4.99894,4.72846,21.6,-38.8,11.716,10.843,10.764,0.742,"NULL","NULL",0,1375,0,3
"1128",6606,94,386,1,4.50663,6.11556,44,-22.4,11.631,10.605,10.513,0.872,"NULL","NULL",0,1394,0,3
"1138",6617,94,714,1,4.54204,6.25963,7.4,-34.3,10.305,9.734,9.683,0.485,"NULL","NULL",0,1405,0,3
"1144",6624,94,903,1,4.59437,7.11633,32.3,-10.8,11.981,11.4,11.348,0.494,"NULL","NULL",0,1412,0,3
"1148",6629,94,980,1,4.52123,6.76959,29.4,-54.8,11.413,10.356,10.261,0.898,"NULL","NULL",0,1417,0,3
"1152",6633,94,1066,1,4.51199,6.51044,15.7,-21.3,10.762,10.184,10.132,0.491,"NULL","NULL",0,1421,0,3
"1175",6659,95,84,1,4.715,7.4916,47.9,-59.5,10.463,8.932,8.794,1.301,"NULL","NULL",0,1447,0,3
"1184",6672,95,489,1,4.71647,6.57958,18.2,-20.1,10.183,9.736,9.696,0.38,"NULL","NULL",0,1460,0,3
