"RA_J2000","DE_J2000"
5.73472,6.95436
5.68752,5.70413
5.63666,6.00349
5.7019,6.60927
5.6728,6.66614
5.81212,5.82138
5.84144,7.12624
5.76412,6.62791
5.82522,6.88956
5.75027,6.52903
5.77982,6.38385
5.96372,7.49542
5.98528,7.0239
6.03333,4.61788
6.0608,4.31399
6.04715,4.28533
6.0782,7.29764
6.04583,6.91175
6.02997,5.87555
6.01709,7.01871
6.08602,6.44832
3.04058,8.41704
3.00448,8.59465
2.94086,7.78022
3.04704,8.49428
3.03448,7.97973
2.92069,9.1118
3.00339,7.51789
2.92892,7.98116
3.03223,8.71585
2.99701,9.65017
2.93786,9.7656
2.91292,9.77239
3.05217,10.1012
2.96821,11.2984
2.97989,11.2523
3.05614,11.4548
2.92778,10.0185
3.03004,10.8469
2.99181,12.5737
3.04657,14.0829
2.9856,14.4338
3.00198,13.0602
2.90484,13.1308
2.95301,13.5982
2.98363,13.0252
2.96001,14.0214
3.06356,14.2693
2.9088,14.0486
2.91409,14.0227
3.0448,13.0705
3.21826,8.13006
3.18512,8.72205
3.06512,9.75338
3.09439,9.89129
3.20952,9.74919
3.37961,8.57158
3.29766,9.38854
3.24537,9.78907
3.29071,9.88328
3.35663,8.05199
3.54807,9.8189
3.44547,8.90046
3.53182,7.89634
3.5082,9.09725
3.46568,7.63292
3.5513,8.99111
3.06612,10.7099
3.0684,12.4278
3.1257,11.4842
3.21761,10.8877
3.15356,12.4522
3.15322,10.2129
3.16158,12.4681
3.23355,11.4503
3.14723,10.9935
3.18918,11.2537
3.32051,12.4521
3.36587,10.0081
3.2442,12.269
3.28725,11.2962
3.4021,10.0923
3.36201,12.1012
3.57096,10.6367
3.56667,11.3955
3.4973,11.4575
3.48435,10.948
3.44034,11.967
3.09079,13.6986
3.13062,13.1579
3.07286,14.8583
3.12909,13.3294
3.13933,14.4266
3.13921,13.2937
3.14633,14.6846
3.11316,14.6141
3.16205,13.1402
3.1506,13.9599
3.23268,14.3135
3.21413,13.6634
3.15893,13.6049
3.39674,14.7153
3.38269,13.8919
3.34616,14.594
3.31451,14.3191
3.27954,14.5397
3.29492,14.5592
3.28856,13.8727
3.3481,14.2022
3.25342,12.6565
3.55726,14.5236
3.55631,12.6971
3.52332,14.6845
3.51566,12.5424
3.47835,13.1325
3.44794,14.154
3.47783,13.1721
3.47207,14.725
3.45412,12.8884
3.48725,13.5927
3.48111,12.5291
3.65846,9.33658
3.71072,9.14544
3.69719,7.95895
3.68645,7.77167
3.7163,9.0422
3.67455,8.79304
3.69904,8.34689
3.59836,7.86865
3.57929,9.15208
3.76695,9.99038
3.84136,9.31219
3.84149,9.81355
3.8445,9.33729
3.85807,8.96535
3.88985,7.98677
3.79203,7.95741
3.9013,8.34929
3.90368,8.183
3.88893,8.19891
3.80873,8.52687
3.89504,8.61685
3.80218,8.22968
4.03119,9.65741
4.08086,8.57047
4.07296,8.82086
4.06481,8.0245
3.95439,8.9211
3.70779,12.1854
3.66715,12.2473
3.61513,12.4463
3.62893,10.7072
3.69767,10.3574
3.89172,12.3693
3.87986,11.9381
3.79824,11.8162
3.78941,10.9809
3.89691,10.4984
3.84737,11.0015
3.7526,10.8814
3.95955,10.295
3.95152,12.3475
3.97742,12.2577
3.94117,11.4149
3.93866,11.4198
3.93909,10.7966
4.05802,11.4959
3.96449,11.5734
3.94904,11.8649
3.95412,11.5727
4.06032,11.2927
3.99687,11.5428
3.71768,13.0526
3.68271,13.151
3.72576,13.8772
3.61508,14.0546
3.70884,14.8396
3.5892,14.838
3.70264,14.6271
3.74415,14.2466
3.58299,13.8306
3.80281,14.1954
3.85718,14.2851
3.75737,14.0542
4.05803,13.4281
3.95594,12.9713
4.00713,13.8962
3.93943,12.8532
4.03854,14.3042
4.04896,13.4627
4.05573,13.2223
3.98116,13.7065
3.97662,13.105
4.08268,14.2544
4.16319,7.80103
4.11163,7.99484
4.09372,9.20233
4.28248,9.28101
4.3306,8.3028
4.31196,8.9412
4.33422,8.09679
4.45532,9.2262
4.39926,8.89621
4.40632,7.7657
4.36398,8.79292
4.38273,9.07152
4.44756,8.70489
4.3546,8.36888
4.51962,7.70453
4.47146,8.95481
4.55226,8.32708
4.5825,8.0631
4.1578,9.77021
4.17679,9.57498
4.1902,10.2773
4.15027,10.9264
4.28427,10.6658
4.33493,10.3973
4.28286,9.6775
4.33914,11.2094
4.26648,9.63225
4.43505,9.53264
4.34495,10.7259
4.36104,9.50634
4.45712,10.4788
4.37019,9.92226
4.54147,9.89561
4.53627,10.7607
4.56503,10.349
4.58859,9.43417
4.49139,9.83255
4.55476,9.90458
4.5931,10.1704
4.17624,12.7372
4.0957,11.3898
4.1821,12.8121
4.26603,11.8012
4.32524,12.9284
4.31709,12.2674
4.27936,12.9575
4.36324,11.6681
4.38674,11.9265
4.4315,11.9335
4.42648,12.1665
4.50921,12.5361
4.49262,12.5754
4.482,11.3587
4.11442,13.7322
4.08612,14.3098
4.13847,13.5239
4.11644,14.5988
4.12839,14.8429
4.22549,14.5575
4.2167,14.7342
4.21399,13.6518
4.26646,13.1673
4.33221,14.8741
4.36052,14.7658
4.35942,14.8345
4.35495,13.6679
4.39568,13.698
4.45551,13.7219
4.37627,13.9328
4.45704,14.2607
4.37924,14.2514
4.43003,14.1683
4.4073,13.9966
4.50588,14.6113
4.5136,14.3606
4.52618,14.605
4.50233,14.3067
4.64079,9.37283
4.62666,8.31333
4.70891,9.10023
4.67295,7.79732
4.64782,7.92908
4.68671,8.27864
4.71586,7.91171
4.75384,7.54319
4.79022,7.75724
4.77925,8.50903
4.82744,8.62447
4.83315,7.67922
4.78274,7.50323
4.75979,8.70682
4.7985,8.11043
4.80459,7.96579
4.77584,8.78201
4.81804,7.9627
4.76547,8.50414
4.84737,7.99448
4.90973,9.2482
4.96844,8.37648
4.8688,8.11696
4.93767,8.29487
4.95305,7.53514
4.94906,7.5685
4.88291,7.7488
4.85284,7.71568
5.01589,9.21552
5.00611,8.43865
5.02264,8.86053
4.61903,10.5323
4.69734,10.3725
4.61888,10.01
4.70503,11.1117
4.71044,9.60085
4.8132,9.67448
4.82077,9.69114
4.7276,9.44274
4.73901,9.68434
4.76943,9.62707
4.75345,10.5392
4.80118,10.0781
4.82988,9.89835
4.74409,9.84412
4.87224,11.1817
4.89746,10.3328
4.9575,10.8262
4.95044,10.9382
4.86623,10.804
4.86994,9.70458
4.85319,9.62306
4.97154,9.7913
5.03974,10.9957
5.06882,10.3944
5.09348,9.87359
5.00541,10.2694
4.59719,13.0693
4.64675,12.2155
4.72452,13.0357
4.77346,11.9671
4.7853,11.4855
4.79498,12.2341
4.94762,12.122
4.90803,12.4509
4.95981,12.1309
4.92587,12.1676
5.07647,12.3308
5.00367,12.4193
5.04531,12.334
5.02159,12.9845
4.98717,13.0449
5.01356,11.9606
5.04662,12.3823
4.99377,11.3324
4.61099,14.9736
4.59798,13.6007
4.66092,13.671
4.6667,13.4854
4.81064,14.9219
4.8136,13.2422
4.73433,14.5541
4.846,14.2179
4.72511,14.377
4.88481,14.8963
4.95072,13.814
4.89698,13.5589
4.89417,13.1387
4.96152,13.9321
4.85148,13.7716
4.99574,14.923
5.09894,14.0912
5.09077,13.803
5.018,13.4999
5.07995,14.5355
5.03574,14.7498
5.03333,13.6535
5.0221,14.1175
5.0276,13.536
5.09623,13.9521
5.07484,13.3121
5.08724,13.6765
5.11366,9.06866
5.11275,8.09656
5.20166,8.97419
5.19731,9.03781
5.16728,9.22653
5.18296,8.71034
5.18686,8.39712
5.21588,8.127
5.26193,9.05858
5.28453,9.37093
5.33791,8.14591
5.30212,8.91886
5.38502,8.983
5.47992,7.85147
5.47163,8.46247
5.46216,7.56593
5.59365,9.09587
5.51953,8.65507
5.56988,8.2275
5.53035,7.67122
5.56412,7.95422
5.57972,8.1486
5.59719,7.65479
5.50851,8.97664
5.14759,10.9835
5.12373,9.93161
5.11383,10.1439
5.21658,10.0892
5.19833,10.4423
5.20578,10.5625
5.15143,9.50977
5.21642,9.60964
5.11537,10.9968
5.27826,10.0978
5.32211,10.7288
5.34426,9.69156
5.26082,10.8054
5.25018,9.99765
5.26392,11.1153
5.24152,9.84811
5.31263,10.0232
5.38201,10.9693
5.44234,9.69151
5.44645,10.6848
5.43841,9.43405
5.48673,10.3332
5.38489,9.68982
5.4732,10.3364
5.37198,10.5753
5.47704,10.1769
5.36755,10.063
5.45515,9.91197
5.61284,9.88729
5.53525,9.57989
5.58077,10.5773
5.54305,10.083
5.54874,10.0007
5.58094,10.9865
5.51707,10.7409
5.15085,12.9642
5.14458,12.7709
5.11947,11.6741
5.11081,11.6898
5.16134,13.0039
5.15303,12.9124
5.25097,11.4264
5.31051,12.0882
5.44627,12.8508
5.46172,11.4709
5.36486,12.8786
5.42252,12.5314
5.45307,11.5258
5.40773,12.0904
5.37303,12.0567
5.61496,13.1198
5.61488,12.3143
5.53141,12.2398
5.554,12.3496
5.59601,11.9635
5.58527,11.5041
5.61659,11.743
5.51288,11.5444
5.51317,12.8543
5.14382,14.7025
5.13748,13.3796
5.18054,14.3569
5.35083,13.7515
5.3583,13.3521
5.37942,14.954
5.40452,14.0718
5.39097,13.7
5.43325,13.3803
5.42618,13.6259
5.54692,14.8853
5.57355,13.9287
5.60762,14.6541
5.52278,14.6307
5.61151,14.226
5.53195,13.4141
5.53712,14.3451
5.54589,14.2196
5.6139,13.6323
5.5044,14.0277
5.5011,13.2113
5.68827,9.26354
5.62424,9.28109
5.65642,9.32178
5.6514,7.54429
5.65826,7.59331
5.7419,8.63719
5.68153,8.02758
5.63973,8.44466
5.8669,9.03714
5.75936,8.58198
5.82843,8.07227
5.77338,8.14217
5.76864,8.27949
5.81941,7.50364
5.91648,9.31338
5.89175,7.65545
5.96295,7.72339
5.98242,8.61433
5.95266,8.31133
6.02565,7.59768
6.06449,8.57012
6.07221,8.50175
5.65403,11.2169
5.67345,10.7349
5.61999,9.78193
5.70438,10.5449
5.71483,9.89113
5.69451,9.62601
5.73405,9.51943
5.85212,11.066
5.79031,10.1148
5.75233,10.0316
5.83254,10.1832
5.76249,10.0491
5.82506,9.55758
5.75239,9.61887
5.82233,10.2204
5.87381,10.1395
5.92147,10.9339
5.93562,9.48864
5.96687,11.1936
6.06897,11.0158
6.05791,9.82801
6.0055,10.2301
6.04597,9.53561
5.65108,13.0296
5.63419,11.8076
5.63035,12.5134
5.70738,13.1065
5.6698,11.4458
5.71197,11.5018
5.65896,11.3568
5.7445,11.4069
5.64402,11.3879
5.86043,12.5942
5.77536,12.966
5.83431,12.6355
5.80778,11.7167
5.83975,11.9318
5.94712,11.4432
5.87409,12.3283
5.90345,11.7324
5.92698,11.7097
5.943,11.6485
5.95476,11.4436
5.99106,12.4694
5.99091,11.513
6.0687,12.2248
6.00606,12.0483
6.09814,11.7331
5.7234,14.8917
5.67068,14.6811
5.71643,14.2537
5.71729,13.1435
5.86525,13.8752
5.83009,13.4759
5.76342,14.7257
5.75331,14.1604
5.83464,14.0372
5.93168,13.9993
5.90313,14.8591
5.91731,13.6669
5.88469,13.7214
5.96419,14.8033
5.95779,14.4412
5.99875,13.5792
5.98695,13.6642
6.09181,14.3757
6.06976,14.0736
3.00875,15.9092
2.92347,16.2882
2.94134,16.8424
2.92364,16.2819
2.91439,16.2959
3.17177,16.1076
3.16704,16.8144
3.14382,16.8342
3.1981,16.3158
3.17288,15.6346
3.16317,16.8062
3.0538,17.0135
3.04522,17.4468
3.08991,15.1661
3.15738,15.2368
2.95111,19.0955
2.98419,18.8115
2.94131,17.9741
3.02153,17.6877
2.92128,19.2504
2.93491,18.8868
2.99759,18.6201
2.96933,19.5001
3.16942,19.2411
3.16807,17.5351
3.13855,19.4661
3.14285,19.2073
3.12919,18.7217
3.15651,18.4607
3.10533,19.3809
3.04784,19.3051
3.07175,18.6271
3.07841,17.9025
3.11972,19.3716
3.05437,18.179
3.03844,18.7935
3.07943,17.6527
3.08887,17.7124
2.97599,21.2383
2.98989,21.0067
2.95937,20.0177
3.01725,20.948
2.97182,20.66
3.00321,20.513
2.92831,21.0141
2.90749,21.3262
2.9167,21.0961
3.14136,20.215
3.15148,20.0245
3.19016,20.2264
3.1868,21.0172
3.11803,20.482
3.15352,20.7435
3.17235,22.1742
3.0339,22.1045
3.03312,22.0779
3.10382,22.4179
3.1549,21.8127
3.02414,22.2252
3.19768,21.7131
3.11098,20.6371
3.06363,20.1109
3.04419,20.09
3.02334,20.182
3.11069,20.6394
3.2579,15.9081
3.29521,15.0962
3.24813,15.4459
3.28702,15.5022
3.22259,15.4431
3.43384,15.5314
3.40676,15.6167
3.39413,15.8416
3.37515,16.5433
3.39857,16.851
3.48544,15.5181
3.67028,15.0819
